broker_name,channel_type,performance_tier,business_segment,risk_level,sales_units,cancel_units,net_units,total_transactions,net_value,sales_value,cancel_value,cancel_rate_pct,sales_rate_pct,conversion_rate,avg_ticket_size,avg_sales_ticket,avg_cancel_ticket,revenue_per_transaction,share_of_total_value_pct,share_of_total_units_pct,share_of_sales_value_pct,revenue_rank,volume_rank,efficiency_rank,revenue_score,volume_score,quality_score,overall_performance_score,efficiency_vs_market,growth_potential
Broker 259,Broker,Basic,Emerging Partner,High Risk,2,2,0,4,513235011.22,433142445.3,-80092565.92,100.0,50.0,50.0,0.0,216571222.65,-40046282.96,128308752.81,0.11,0.0,0.1,208,32,619,0.2,0.0,22.5,22.7,-100.0,Very Low
Broker 424,Broker,Basic,Emerging Partner,High Risk,2,1,1,3,512951393.41999996,251438404.32,-261512989.1,50.0,66.67,66.67,512951393.42,125719202.16,-261512989.1,170983797.81,0.11,0.04,0.06,209,31,17,0.2,0.1,26.2,26.5,177.1,Medium
Broker 105,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,510919000.47999996,510919000.47999996,0.0,0.0,100.0,100.0,85153166.75,85153166.75,0.0,85153166.75,0.1,0.23,0.11,210,26,433,0.2,0.5,30.0,30.7,-54.0,Medium
Broker 616,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,503730928.5,503730928.5,0.0,0.0,100.0,100.0,251865464.25,251865464.25,0.0,251865464.25,0.1,0.08,0.11,211,30,100,0.2,0.2,30.0,30.4,36.1,High
Broker 519,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,500039402.0,500039402.0,0.0,0.0,100.0,100.0,166679800.67,166679800.67,0.0,166679800.67,0.1,0.11,0.11,212,29,268,0.2,0.2,30.0,30.4,-9.9,Medium
Broker 615,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,492198342.5,492198342.5,0.0,0.0,100.0,100.0,246099171.25,246099171.25,0.0,246099171.25,0.1,0.08,0.11,213,30,106,0.2,0.2,30.0,30.4,33.0,High
Broker 276,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,485903361.66999996,485903361.66999996,0.0,0.0,100.0,100.0,80983893.61,80983893.61,0.0,80983893.61,0.1,0.23,0.11,214,26,443,0.2,0.5,30.0,30.7,-56.2,Medium
Broker 599,Broker,Basic,Emerging Partner,High Risk,3,1,2,4,484722001.78,372337769.88,-112384231.9,33.33,75.0,75.0,242361000.89,124112589.96,-112384231.9,121180500.44,0.1,0.08,0.08,215,30,112,0.2,0.2,27.5,27.9,30.9,Medium
Broker 199,Broker,Basic,Emerging Partner,High Risk,3,1,2,4,484645685.63,340056513.03,-144589172.6,33.33,75.0,75.0,242322842.81,113352171.01,-144589172.6,121161421.41,0.1,0.08,0.08,216,30,113,0.2,0.2,27.5,27.9,30.9,Medium
Broker 478,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,480257945.4,480257945.4,0.0,0.0,100.0,100.0,240128972.7,240128972.7,0.0,240128972.7,0.1,0.08,0.11,217,30,116,0.2,0.2,30.0,30.4,29.7,High
Broker 484,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,479322177.7,479322177.7,0.0,0.0,100.0,100.0,239661088.85,239661088.85,0.0,239661088.85,0.1,0.08,0.11,218,30,117,0.2,0.2,30.0,30.4,29.5,High
Broker 381,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,475239237.03999996,475239237.03999996,0.0,0.0,100.0,100.0,79206539.51,79206539.51,0.0,79206539.51,0.1,0.23,0.11,219,26,445,0.2,0.5,30.0,30.7,-57.2,Medium
Broker 246,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,475117315.2,475117315.2,0.0,0.0,100.0,100.0,475117315.2,475117315.2,0.0,475117315.2,0.1,0.04,0.11,220,31,18,0.2,0.1,30.0,30.3,156.7,High
Broker 445,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,471836480.6,471836480.6,0.0,0.0,100.0,100.0,235918240.3,235918240.3,0.0,235918240.3,0.1,0.08,0.11,221,30,121,0.2,0.2,30.0,30.4,27.5,High
Broker 391,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,470135548.99,470135548.99,0.0,0.0,100.0,100.0,117533887.25,117533887.25,0.0,117533887.25,0.1,0.15,0.11,222,28,372,0.2,0.3,30.0,30.5,-36.5,Medium
Broker 520,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,468964502.3,468964502.3,0.0,0.0,100.0,100.0,156321500.77,156321500.77,0.0,156321500.77,0.1,0.11,0.1,223,29,297,0.2,0.2,30.0,30.4,-15.5,Medium
Broker 70,Broker,Basic,Emerging Partner,High Risk,1,2,-1,3,467453010.78,28173824.88,-439279185.9,200.0,33.33,33.33,0.0,28173824.88,-219639592.95,155817670.26,0.1,-0.04,0.01,224,33,619,0.2,-0.1,15.0,15.1,-100.0,Very Low
Broker 155,Broker,Basic,Emerging Partner,High Risk,1,4,-3,5,466683934.11,248992928.0,-217691006.11,400.0,20.0,20.0,0.0,248992928.0,-54422751.53,93336786.82,0.1,-0.11,0.06,225,35,619,0.2,-0.2,0.0,0.0,-100.0,Very Low
Broker 29,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,465514433.81,465514433.81,0.0,0.0,100.0,100.0,155171477.94,155171477.94,0.0,155171477.94,0.1,0.11,0.1,226,29,303,0.2,0.2,30.0,30.4,-16.2,Medium
Broker 404,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,462263387.5,462263387.5,0.0,0.0,100.0,100.0,231131693.75,231131693.75,0.0,231131693.75,0.09,0.08,0.1,227,30,130,0.2,0.2,30.0,30.4,24.9,High
Broker 96,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,462064662.5,462064662.5,0.0,0.0,100.0,100.0,231032331.25,231032331.25,0.0,231032331.25,0.09,0.08,0.1,228,30,131,0.2,0.2,30.0,30.4,24.8,High
Broker 176,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,461098808.6700001,461098808.6700001,0.0,0.0,100.0,100.0,115274702.17,115274702.17,0.0,115274702.17,0.09,0.15,0.1,229,28,377,0.2,0.3,30.0,30.5,-37.7,Medium
Broker 596,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,460690846.1,460690846.1,0.0,0.0,100.0,100.0,230345423.05,230345423.05,0.0,230345423.05,0.09,0.08,0.1,230,30,133,0.2,0.2,30.0,30.4,24.5,High
Broker 608,Broker,Basic,Emerging Partner,High Risk,2,1,1,3,459984900.5,282857512.3,-177127388.2,50.0,66.67,66.67,459984900.5,141428756.15,-177127388.2,153328300.17,0.09,0.04,0.06,231,31,20,0.2,0.1,26.2,26.5,148.5,Medium
Broker 61,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,458913537.52,458913537.52,0.0,0.0,100.0,100.0,114728384.38,114728384.38,0.0,114728384.38,0.09,0.15,0.1,232,28,379,0.2,0.3,30.0,30.5,-38.0,Medium
Broker 518,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,457581104.6,457581104.6,0.0,0.0,100.0,100.0,228790552.3,228790552.3,0.0,228790552.3,0.09,0.08,0.1,233,30,136,0.2,0.2,30.0,30.4,23.6,High
Broker 528,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,455695249.1,455695249.1,0.0,0.0,100.0,100.0,227847624.55,227847624.55,0.0,227847624.55,0.09,0.08,0.1,234,30,139,0.2,0.2,30.0,30.4,23.1,High
Broker 569,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,454068329.8,454068329.8,0.0,0.0,100.0,100.0,227034164.9,227034164.9,0.0,227034164.9,0.09,0.08,0.1,235,30,142,0.2,0.2,30.0,30.4,22.7,High
Broker 149,Broker,Basic,Emerging Partner,High Risk,2,2,0,4,446008361.90000004,294277172.6,-151731189.3,100.0,50.0,50.0,0.0,147138586.3,-75865594.65,111502090.48,0.09,0.0,0.07,236,32,619,0.2,0.0,22.5,22.7,-100.0,Very Low
Broker 240,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,443363661.5,443363661.5,0.0,0.0,100.0,100.0,443363661.5,443363661.5,0.0,443363661.5,0.09,0.04,0.1,237,31,23,0.2,0.1,30.0,30.3,139.5,High
Broker 200,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,442499422.74,442499422.74,0.0,0.0,100.0,100.0,147499807.58,147499807.58,0.0,147499807.58,0.09,0.11,0.1,238,29,313,0.2,0.2,30.0,30.4,-20.3,Medium
Broker 208,Broker,Basic,Emerging Partner,Excellent,9,0,9,9,441990527.95000005,441990527.95000005,0.0,0.0,100.0,100.0,49110058.66,49110058.66,0.0,49110058.66,0.09,0.34,0.1,239,23,537,0.2,0.7,30.0,30.9,-73.5,Medium
Broker 253,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,438742843.2,438742843.2,0.0,0.0,100.0,100.0,438742843.2,438742843.2,0.0,438742843.2,0.09,0.04,0.1,240,31,25,0.2,0.1,30.0,30.3,137.0,High
Broker 592,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,436501239.70000005,436501239.70000005,0.0,0.0,100.0,100.0,218250619.85,218250619.85,0.0,218250619.85,0.09,0.08,0.1,241,30,153,0.2,0.2,30.0,30.4,17.9,High
Broker 613,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,436411397.6,436411397.6,0.0,0.0,100.0,100.0,218205698.8,218205698.8,0.0,218205698.8,0.09,0.08,0.1,242,30,154,0.2,0.2,30.0,30.4,17.9,High
Broker 375,Broker,Basic,Emerging Partner,Excellent,0,2,-2,2,431325046.7,0.0,-431325046.7,0.0,0.0,0.0,0.0,0.0,-215662523.35,215662523.35,0.09,-0.08,0.0,243,34,619,0.2,-0.2,30.0,30.0,-100.0,Medium
Broker 382,Broker,Basic,Emerging Partner,High Risk,2,3,-1,5,431001743.70000005,68166885.78,-362834857.92,150.0,40.0,40.0,0.0,34083442.89,-120944952.64,86200348.74,0.09,-0.04,0.02,244,33,619,0.2,-0.1,18.8,18.9,-100.0,Very Low
Broker 245,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,428620761.0,428620761.0,0.0,0.0,100.0,100.0,214310380.5,214310380.5,0.0,214310380.5,0.09,0.08,0.1,245,30,156,0.2,0.2,30.0,30.4,15.8,High
Broker 574,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,428144297.1,428144297.1,0.0,0.0,100.0,100.0,214072148.55,214072148.55,0.0,214072148.55,0.09,0.08,0.1,246,30,157,0.2,0.2,30.0,30.4,15.7,High
Broker 355,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,427941668.04999995,427941668.04999995,0.0,0.0,100.0,100.0,71323611.34,71323611.34,0.0,71323611.34,0.09,0.23,0.1,247,26,467,0.2,0.5,30.0,30.7,-61.5,Medium
Broker 419,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,423041498.94,423041498.94,0.0,0.0,100.0,100.0,105760374.73,105760374.73,0.0,105760374.73,0.09,0.15,0.09,248,28,392,0.2,0.3,30.0,30.5,-42.9,Medium
Broker 79,Broker,Basic,Emerging Partner,Excellent,7,0,7,7,422408243.95000005,422408243.95000005,0.0,0.0,100.0,100.0,60344034.85,60344034.85,0.0,60344034.85,0.09,0.27,0.09,249,25,504,0.2,0.6,30.0,30.8,-67.4,Medium
Broker 187,Broker,Basic,Emerging Partner,Excellent,7,0,7,7,422204757.98,422204757.98,0.0,0.0,100.0,100.0,60314965.43,60314965.43,0.0,60314965.43,0.09,0.27,0.09,250,25,506,0.2,0.6,30.0,30.8,-67.4,Medium
Broker 455,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,416758588.56000006,416758588.56000006,0.0,0.0,100.0,100.0,138919529.52,138919529.52,0.0,138919529.52,0.09,0.11,0.09,251,29,329,0.2,0.2,30.0,30.4,-24.9,Medium
Broker 580,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,412815829.0,412815829.0,0.0,0.0,100.0,100.0,206407914.5,206407914.5,0.0,206407914.5,0.08,0.08,0.09,252,30,166,0.2,0.2,30.0,30.4,11.5,High
Broker 612,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,410950294.9,410950294.9,0.0,0.0,100.0,100.0,205475147.45,205475147.45,0.0,205475147.45,0.08,0.08,0.09,253,30,174,0.2,0.2,30.0,30.4,11.0,High
Broker 511,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,408289614.19,408289614.19,0.0,0.0,100.0,100.0,136096538.06,136096538.06,0.0,136096538.06,0.08,0.11,0.09,254,29,334,0.2,0.2,30.0,30.4,-26.5,Medium
Broker 531,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,404678625.6,404678625.6,0.0,0.0,100.0,100.0,202339312.8,202339312.8,0.0,202339312.8,0.08,0.08,0.09,255,30,178,0.2,0.2,30.0,30.4,9.3,High
Broker 49,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,397045187.85,397045187.85,0.0,0.0,100.0,100.0,99261296.96,99261296.96,0.0,99261296.96,0.08,0.15,0.09,256,28,409,0.2,0.3,30.0,30.5,-46.4,Medium
Broker 550,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,393320415.4,393320415.4,0.0,0.0,100.0,100.0,196660207.7,196660207.7,0.0,196660207.7,0.08,0.08,0.09,257,30,187,0.2,0.2,30.0,30.4,6.3,High
Broker 158,Broker,Basic,Emerging Partner,Excellent,0,3,-3,3,392727146.6,0.0,-392727146.6,0.0,0.0,0.0,0.0,0.0,-130909048.87,130909048.87,0.08,-0.11,0.0,258,35,619,0.2,-0.2,30.0,30.0,-100.0,Medium
Broker 492,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,388024169.68,388024169.68,0.0,0.0,100.0,100.0,194012084.84,194012084.84,0.0,194012084.84,0.08,0.08,0.09,259,30,192,0.2,0.2,30.0,30.4,4.8,High
Broker 567,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,388015375.0,388015375.0,0.0,0.0,100.0,100.0,194007687.5,194007687.5,0.0,194007687.5,0.08,0.08,0.09,260,30,193,0.2,0.2,30.0,30.4,4.8,High
Broker 416,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,383870085.6,383870085.6,0.0,0.0,100.0,100.0,191935042.8,191935042.8,0.0,191935042.8,0.08,0.08,0.09,261,30,201,0.2,0.2,30.0,30.4,3.7,High
Broker 362,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,380442879.68,380442879.68,0.0,0.0,100.0,100.0,190221439.84,190221439.84,0.0,190221439.84,0.08,0.08,0.09,262,30,207,0.2,0.2,30.0,30.4,2.8,High
Broker 160,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,379251738.2,379251738.2,0.0,0.0,100.0,100.0,189625869.1,189625869.1,0.0,189625869.1,0.08,0.08,0.08,263,30,211,0.2,0.2,30.0,30.4,2.5,High
Broker 432,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,377997290.95,377997290.95,0.0,0.0,100.0,100.0,125999096.98,125999096.98,0.0,125999096.98,0.08,0.11,0.08,264,29,359,0.2,0.2,30.0,30.4,-31.9,Medium
Broker 34,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,377319811.57000005,377319811.57000005,0.0,0.0,100.0,100.0,62886635.26,62886635.26,0.0,62886635.26,0.08,0.23,0.08,265,26,495,0.2,0.5,30.0,30.7,-66.0,Medium
Broker 214,Broker,Basic,Emerging Partner,Excellent,7,0,7,7,376907536.81,376907536.81,0.0,0.0,100.0,100.0,53843933.83,53843933.83,0.0,53843933.83,0.08,0.27,0.08,266,25,522,0.2,0.6,30.0,30.8,-70.9,Medium
Broker 415,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,376710898.3,376710898.3,0.0,0.0,100.0,100.0,188355449.15,188355449.15,0.0,188355449.15,0.08,0.08,0.08,267,30,215,0.2,0.2,30.0,30.4,1.8,High
Broker 250,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,374564203.7,374564203.7,0.0,0.0,100.0,100.0,187282101.85,187282101.85,0.0,187282101.85,0.08,0.08,0.08,268,30,218,0.2,0.2,30.0,30.4,1.2,High
Broker 402,Broker,Basic,Emerging Partner,High Risk,2,1,1,3,373423580.61,192078638.51,-181344942.1,50.0,66.67,66.67,373423580.61,96039319.25,-181344942.1,124474526.87,0.08,0.04,0.04,269,31,35,0.2,0.1,26.2,26.5,101.8,Medium
Broker 148,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,373385798.22,373385798.22,0.0,0.0,100.0,100.0,186692899.11,186692899.11,0.0,186692899.11,0.08,0.08,0.08,270,30,221,0.2,0.2,30.0,30.4,0.9,High
Broker 661,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,366593111.16999996,366593111.16999996,0.0,0.0,100.0,100.0,91648277.79,91648277.79,0.0,91648277.79,0.08,0.15,0.08,271,28,421,0.2,0.3,30.0,30.5,-50.5,Medium
Broker 611,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,362976854.5,362976854.5,0.0,0.0,100.0,100.0,181488427.25,181488427.25,0.0,181488427.25,0.07,0.08,0.08,272,30,236,0.2,0.2,30.0,30.4,-1.9,Medium
Broker 108,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,360180718.6,360180718.6,0.0,0.0,100.0,100.0,120060239.53,120060239.53,0.0,120060239.53,0.07,0.11,0.08,273,29,369,0.2,0.2,30.0,30.4,-35.1,Medium
Broker 317,Broker,Basic,Emerging Partner,High Risk,1,1,0,2,357410695.39000005,303224952.1,-54185743.29,100.0,50.0,50.0,0.0,303224952.1,-54185743.29,178705347.7,0.07,0.0,0.07,274,32,619,0.2,0.0,22.5,22.7,-100.0,Very Low
Broker 76,Broker,Basic,Emerging Partner,Low Risk,7,1,6,8,356020846.28,220377461.38,-135643384.9,14.29,87.5,87.5,59336807.71,31482494.48,-135643384.9,44502605.78,0.07,0.23,0.05,275,26,508,0.2,0.5,28.9,29.6,-67.9,Low
Broker 427,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,355524097.4,355524097.4,0.0,0.0,100.0,100.0,177762048.7,177762048.7,0.0,177762048.7,0.07,0.08,0.08,276,30,243,0.2,0.2,30.0,30.4,-4.0,Medium
Broker 256,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,351959247.90999997,351959247.90999997,0.0,0.0,100.0,100.0,175979623.95,175979623.95,0.0,175979623.95,0.07,0.08,0.08,277,30,246,0.2,0.2,30.0,30.4,-4.9,Medium
Broker 636,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,350946699.55,350946699.55,0.0,0.0,100.0,100.0,175473349.78,175473349.78,0.0,175473349.78,0.07,0.08,0.08,278,30,247,0.2,0.2,30.0,30.4,-5.2,Medium
Broker 626,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,350278809.6,350278809.6,0.0,0.0,100.0,100.0,350278809.6,350278809.6,0.0,350278809.6,0.07,0.04,0.08,279,31,37,0.2,0.1,30.0,30.3,89.3,High
Broker 557,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,349012825.21,349012825.21,0.0,0.0,100.0,100.0,174506412.6,174506412.6,0.0,174506412.6,0.07,0.08,0.08,280,30,251,0.2,0.2,30.0,30.4,-5.7,Medium
Broker 113,Broker,Basic,Emerging Partner,High Risk,2,1,1,3,348775106.5,225761258.5,-123013848.0,50.0,66.67,66.67,348775106.5,112880629.25,-123013848.0,116258368.83,0.07,0.04,0.05,281,31,38,0.2,0.1,26.2,26.5,88.4,Medium
Broker 532,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,347167820.73,347167820.73,0.0,0.0,100.0,100.0,173583910.37,173583910.37,0.0,173583910.37,0.07,0.08,0.08,282,30,253,0.2,0.2,30.0,30.4,-6.2,Medium
Broker 581,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,338478963.0,338478963.0,0.0,0.0,100.0,100.0,169239481.5,169239481.5,0.0,169239481.5,0.07,0.08,0.08,283,30,262,0.2,0.2,30.0,30.4,-8.6,Medium
Broker 40,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,329824297.98,329824297.98,0.0,0.0,100.0,100.0,109941432.66,109941432.66,0.0,109941432.66,0.07,0.11,0.07,284,29,383,0.2,0.2,30.0,30.4,-40.6,Medium
Broker 171,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,329583743.2,329583743.2,0.0,0.0,100.0,100.0,65916748.64,65916748.64,0.0,65916748.64,0.07,0.19,0.07,285,27,487,0.2,0.4,30.0,30.6,-64.4,Medium
Broker 275,Broker,Basic,Emerging Partner,High Risk,3,1,2,4,328423355.02,291536578.88,-36886776.14,33.33,75.0,75.0,164211677.51,97178859.63,-36886776.14,82105838.75,0.07,0.08,0.07,286,30,277,0.2,0.2,27.5,27.9,-11.3,Very Low
Broker 18,Broker,Basic,Emerging Partner,High Risk,1,1,0,2,324970940.69,264309505.5,-60661435.19,100.0,50.0,50.0,0.0,264309505.5,-60661435.19,162485470.34,0.07,0.0,0.06,287,32,619,0.2,0.0,22.5,22.7,-100.0,Very Low
Broker 157,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,324638527.96999997,324638527.96999997,0.0,0.0,100.0,100.0,162319263.98,162319263.98,0.0,162319263.98,0.07,0.08,0.07,288,30,281,0.2,0.2,30.0,30.4,-12.3,Medium
Broker 479,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,323450839.0,323450839.0,0.0,0.0,100.0,100.0,161725419.5,161725419.5,0.0,161725419.5,0.07,0.08,0.07,289,30,283,0.2,0.2,30.0,30.4,-12.6,Medium
Broker 192,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,322821465.90999997,322821465.90999997,0.0,0.0,100.0,100.0,161410732.95,161410732.95,0.0,161410732.95,0.07,0.08,0.07,290,30,285,0.2,0.2,30.0,30.4,-12.8,Medium
Broker 21,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,321238081.6,321238081.6,0.0,0.0,100.0,100.0,160619040.8,160619040.8,0.0,160619040.8,0.07,0.08,0.07,291,30,288,0.2,0.2,30.0,30.4,-13.2,Medium
Broker 204,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,320165013.53999996,320165013.53999996,0.0,0.0,100.0,100.0,64033002.71,64033002.71,0.0,64033002.71,0.07,0.19,0.07,292,27,493,0.2,0.4,30.0,30.6,-65.4,Medium
Broker 678,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,318798489.7,318798489.7,0.0,0.0,100.0,100.0,318798489.7,318798489.7,0.0,318798489.7,0.07,0.04,0.07,293,31,43,0.1,0.1,30.0,30.2,72.2,High
Broker 219,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,317307668.5,317307668.5,0.0,0.0,100.0,100.0,105769222.83,105769222.83,0.0,105769222.83,0.07,0.11,0.07,294,29,391,0.1,0.2,30.0,30.3,-42.9,Medium
Broker 173,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,315347207.19,315347207.19,0.0,0.0,100.0,100.0,105115735.73,105115735.73,0.0,105115735.73,0.06,0.11,0.07,295,29,395,0.1,0.2,30.0,30.3,-43.2,Medium
Broker 334,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,314241759.08000004,314241759.08000004,0.0,0.0,100.0,100.0,104747253.03,104747253.03,0.0,104747253.03,0.06,0.11,0.07,296,29,396,0.1,0.2,30.0,30.3,-43.4,Medium
Broker 494,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,312077794.1,312077794.1,0.0,0.0,100.0,100.0,312077794.1,312077794.1,0.0,312077794.1,0.06,0.04,0.07,297,31,45,0.1,0.1,30.0,30.2,68.6,High
Broker 178,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,311834492.69,311834492.69,0.0,0.0,100.0,100.0,155917246.34,155917246.34,0.0,155917246.34,0.06,0.08,0.07,298,30,299,0.1,0.2,30.0,30.3,-15.8,Medium
Broker 373,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,307000941.79999995,307000941.79999995,0.0,0.0,100.0,100.0,153500470.9,153500470.9,0.0,153500470.9,0.06,0.08,0.07,299,30,305,0.1,0.2,30.0,30.3,-17.1,Medium
Broker 624,Broker,Basic,Emerging Partner,High Risk,1,1,0,2,304551848.64,207579897.2,-96971951.44,100.0,50.0,50.0,0.0,207579897.2,-96971951.44,152275924.32,0.06,0.0,0.05,300,32,619,0.1,0.0,22.5,22.6,-100.0,Very Low
Broker 107,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,304381697.36,304381697.36,0.0,0.0,100.0,100.0,60876339.47,60876339.47,0.0,60876339.47,0.06,0.19,0.07,301,27,503,0.1,0.4,30.0,30.5,-67.1,Medium
Broker 260,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,304259491.3,304259491.3,0.0,0.0,100.0,100.0,304259491.3,304259491.3,0.0,304259491.3,0.06,0.04,0.07,302,31,47,0.1,0.1,30.0,30.2,64.4,High
Broker 493,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,300859879.6,300859879.6,0.0,0.0,100.0,100.0,300859879.6,300859879.6,0.0,300859879.6,0.06,0.04,0.07,303,31,48,0.1,0.1,30.0,30.2,62.6,High
Broker 588,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,300732506.4,300732506.4,0.0,0.0,100.0,100.0,300732506.4,300732506.4,0.0,300732506.4,0.06,0.04,0.07,304,31,49,0.1,0.1,30.0,30.2,62.5,High
Broker 504,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,297096592.79,297096592.79,0.0,0.0,100.0,100.0,148548296.4,148548296.4,0.0,148548296.4,0.06,0.08,0.07,305,30,311,0.1,0.2,30.0,30.3,-19.7,Medium
Broker 436,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,296790885.6,296790885.6,0.0,0.0,100.0,100.0,296790885.6,296790885.6,0.0,296790885.6,0.06,0.04,0.07,306,31,50,0.1,0.1,30.0,30.2,60.4,High
Broker 535,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,296184068.6,296184068.6,0.0,0.0,100.0,100.0,148092034.3,148092034.3,0.0,148092034.3,0.06,0.08,0.07,307,30,312,0.1,0.2,30.0,30.3,-20.0,Medium
Broker 218,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,296155742.19,296155742.19,0.0,0.0,100.0,100.0,59231148.44,59231148.44,0.0,59231148.44,0.06,0.19,0.07,308,27,509,0.1,0.4,30.0,30.5,-68.0,Medium
Broker 687,Broker,Basic,Emerging Partner,Excellent,0,2,-2,2,295342311.0,0.0,-295342311.0,0.0,0.0,0.0,0.0,0.0,-147671155.5,147671155.5,0.06,-0.08,0.0,309,34,619,0.1,-0.2,30.0,29.9,-100.0,Medium
Broker 412,Broker,Basic,Emerging Partner,High Risk,1,1,0,2,295172955.7,155984450.0,-139188505.7,100.0,50.0,50.0,0.0,155984450.0,-139188505.7,147586477.85,0.06,0.0,0.03,310,32,619,0.1,0.0,22.5,22.6,-100.0,Very Low
Broker 637,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,293799722.9,293799722.9,0.0,0.0,100.0,100.0,293799722.9,293799722.9,0.0,293799722.9,0.06,0.04,0.07,311,31,51,0.1,0.1,30.0,30.2,58.7,High
Broker 485,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,293657004.85,293657004.85,0.0,0.0,100.0,100.0,146828502.43,146828502.43,0.0,146828502.43,0.06,0.08,0.07,312,30,315,0.1,0.2,30.0,30.3,-20.7,Medium
Broker 467,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,292460464.0,292460464.0,0.0,0.0,100.0,100.0,292460464.0,292460464.0,0.0,292460464.0,0.06,0.04,0.07,313,31,52,0.1,0.1,30.0,30.2,58.0,High
Broker 410,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,292291367.19,292291367.19,0.0,0.0,100.0,100.0,97430455.73,97430455.73,0.0,97430455.73,0.06,0.11,0.07,314,29,413,0.1,0.2,30.0,30.3,-47.4,Medium
